TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,25576.082,304.315357192768
SAMPLE,18662.75,157.977490394941
SAMPLE,11910.4595,123.375402993436
SAMPLE,4605.553,110.483532472828
SAMPLE,2062.2416,83.6523412382437
SAMPLE,662.33456,78.4973113347139
SAMPLE,170.6274,60.9520464815263
SAMPLE,55.09675,67.1916514778414
SAMPLE,18.757174,52.1873911277507
SAMPLE,0.7751843,26.8365605219324
DOSE,0,NA
SAMPLE,6411.48,829.299928174968
SAMPLE,4543.1247,417.122964528933
SAMPLE,3839.9615,348.253865293765
SAMPLE,2833.5977,287.792056548411
SAMPLE,2000.7386,228.440843614237
SAMPLE,1088.6017,171.605900313572
SAMPLE,380.65445,126.016347591523
SAMPLE,155.65537,119.043102943508
SAMPLE,72.989404,98.9469933382663
SAMPLE,1.5342393,19.2272910962548
DOSE,0,NA
SAMPLE,8467.641,202431.831977285
SAMPLE,6314.2724,108029.359464695
SAMPLE,3835.1414,55263.9511194024
SAMPLE,2177.5775,17823.7643407601
SAMPLE,881.60783,4190.79313496546
SAMPLE,160.56848,3608.61769371776
SAMPLE,5.4940493,117.478834774702
SAMPLE,0.18930442,87.2156862399706
SAMPLE,0.0065241784,82.5044648574369
SAMPLE,6.992418e-08,33.0468626561768
DOSE,0,NA
SAMPLE,8467.641,1410.59684276273
SAMPLE,6314.2724,1079.7066108816
SAMPLE,3835.1414,373.498642075656
SAMPLE,2177.5775,162.941238081098
SAMPLE,881.60783,43.4520247443873
SAMPLE,160.56848,5.56670133423331
DOSE,0,NA
SAMPLE,11105.775,2556.82657575701
SAMPLE,9481.491,1734.92507366288
SAMPLE,7653.7943,1396.97709649411
SAMPLE,6246.05,1156.79189042104
SAMPLE,4429.116,993.649485903397
SAMPLE,2104.489,812.103116860712
SAMPLE,435.26834,480.563098477543
SAMPLE,88.45707,293.086260292833
SAMPLE,17.951107,216.102423387286
SAMPLE,5.9784306e-05,21.5428334546954
DOSE,0,NA
SAMPLE,7156.4302,731.405846216512
SAMPLE,5308.8055,460.831332638158
SAMPLE,3013.1721,420.965667102289
SAMPLE,492.14724,204.412602633866
SAMPLE,63.63578,148.300293626486
SAMPLE,1.2056425,95.6332636758106
SAMPLE,0.095674055,69.5590495502037
SAMPLE,0.06732534,40.8042964374039
SAMPLE,6.1105055e-05,4.41267261323981
DOSE,0,NA
SAMPLE,30028.399,876.518517827501
SAMPLE,20605.164,447.567990140738
SAMPLE,6713.4643,235.122073767643
SAMPLE,1931.4103,202.090187350608
SAMPLE,628.2152,126.169461498709
SAMPLE,398.45133,54.9005183709564
SAMPLE,180.07231,17.9442101460545
SAMPLE,76.92598,5.86929738737441
SAMPLE,42.132534,4.01171100763424
DOSE,0,NA
SAMPLE,8511.579,628.950672135029
SAMPLE,3177.3374,370.23105403364
SAMPLE,1639.3898,244.116516676307
SAMPLE,915.2094,181.603957149688
SAMPLE,301.39947,142.123004242888
SAMPLE,33.211943,114.294899695551
SAMPLE,0.61843946,74.845154287097
SAMPLE,0.12187345,48.8787819137817
SAMPLE,0.062623774,38.8074286977447
SAMPLE,0.0004774265,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,11494.035,3154.53726174134
SAMPLE,8333.623,1607.19166473264
SAMPLE,6281.7945,1006.19585586241
SAMPLE,4796.7796,531.564625383528
SAMPLE,2639.5762,138.694228684029
SAMPLE,688.05623,12.5023819911244
SAMPLE,200.83486,3.07018439659629
SAMPLE,90.406686,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
SAMPLE,3878.0727,2668.63556042497
SAMPLE,3403.4834,2237.52934107654
SAMPLE,2539.778,1305.44147070675
SAMPLE,1836.9516,885.36118344326
SAMPLE,1055.8842,530.259766081187
SAMPLE,400.77928,209.760934842573
SAMPLE,185.1689,50.0159393798569
SAMPLE,95.61188,14.0698206756857
DOSE,0,NA
SAMPLE,2628.1757,3879.40823945847
SAMPLE,1770.0167,1813.45549555669
SAMPLE,1487.5879,1175.68867161551
SAMPLE,800.8904,472.491609179265
SAMPLE,351.7253,223.213745598083
SAMPLE,80.5244,94.3973169289857
SAMPLE,9.057573,33.7175134688973
SAMPLE,3.4109564,9.60969144117001
SAMPLE,1.8172776,2.9729488650457
DOSE,0,NA
SAMPLE,0,3090.6523648684
SAMPLE,6519.397,2035.08686724603
SAMPLE,3013.1183,1410.99508647108
SAMPLE,1097.5078,489.057667735689
SAMPLE,396.8937,134.388128791546
SAMPLE,80.64116,15.6766240129022
DOSE,0,NA
SAMPLE,19447.077,13657.2451661714
SAMPLE,11939.659,5491.15017088565
SAMPLE,7499.669,4444.57783101495
SAMPLE,4325.2835,1949.95164892484
SAMPLE,2807.0982,658.183272433549
SAMPLE,1337.1525,158.367639935881
SAMPLE,401.1064,32.3761649900074
SAMPLE,110.195264,14.4275245088861
SAMPLE,41.750498,6.18204217403136
DOSE,0,NA
SAMPLE,0,4046.07192142402
SAMPLE,6445.913,2849.90087382855
SAMPLE,4647.727,1966.64176665657
SAMPLE,1806.684,845.755687866694
SAMPLE,634.817,321.480077035485
SAMPLE,113.06756,65.7513194845578
SAMPLE,18.621419,8.7963170702988
SAMPLE,5.9009613,4.04763929917336
SAMPLE,2.3381535,2.08253605892714
DOSE,0,NA
SAMPLE,15178.795,11665.1371699679
SAMPLE,9258.818,7338.02532644988
SAMPLE,7351.553,4565.41408065634
SAMPLE,6780.096,3522.29222404438
