TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,35884.144,304.315357192768
SAMPLE,34844.433,157.977490394941
SAMPLE,33970.417,123.375402993436
SAMPLE,32663.66,110.483532472828
SAMPLE,31885.69,83.6523412382437
SAMPLE,30946.14,78.4973113347139
SAMPLE,29359.99,60.9520464815263
SAMPLE,27913.86,67.1916514778414
SAMPLE,26572.826,52.1873911277507
SAMPLE,18361.7,26.8365605219324
DOSE,0,NA
SAMPLE,6412.7603,829.299928174968
SAMPLE,4544.17,417.122964528933
SAMPLE,3840.9073,348.253865293765
SAMPLE,2834.3024,287.792056548411
SAMPLE,2001.1613,228.440843614237
SAMPLE,1088.735,171.605900313572
SAMPLE,380.65365,126.016347591523
SAMPLE,155.64221,119.043102943508
SAMPLE,72.97882,98.9469933382663
SAMPLE,1.5342874,19.2272910962548
DOSE,0,NA
SAMPLE,8325.87,202431.831977285
SAMPLE,6189.5576,108029.359464695
SAMPLE,3773.2491,55263.9511194024
SAMPLE,2158.6022,17823.7643407601
SAMPLE,895.2752,4190.79313496546
SAMPLE,171.45409,3608.61769371776
SAMPLE,6.4068763,117.478834774702
SAMPLE,0.24041266,87.2156862399706
SAMPLE,0.009032554,82.5044648574369
SAMPLE,0,33.0468626561768
DOSE,0,NA
SAMPLE,8325.87,1410.59684276273
SAMPLE,6189.5576,1079.7066108816
SAMPLE,3773.2491,373.498642075656
SAMPLE,2158.6022,162.941238081098
SAMPLE,895.2752,43.4520247443873
SAMPLE,171.45409,5.56670133423331
DOSE,0,NA
SAMPLE,17321.28,2556.82657575701
SAMPLE,14915.481,1734.92507366288
SAMPLE,13001.369,1396.97709649411
SAMPLE,10617.989,1156.79189042104
SAMPLE,6685.7295,993.649485903397
SAMPLE,2310.115,812.103116860712
SAMPLE,227.98455,480.563098477543
SAMPLE,21.15636,293.086260292833
SAMPLE,1.941647,216.102423387286
SAMPLE,0,21.5428334546954
DOSE,0,NA
SAMPLE,6768.2557,731.405846216512
SAMPLE,2153.5406,460.831332638158
SAMPLE,1578.5509,420.965667102289
SAMPLE,653.96404,204.412602633866
SAMPLE,256.1715,148.300293626486
SAMPLE,45.655396,95.6332636758106
SAMPLE,8.846465,69.5590495502037
SAMPLE,2.1114566,40.8042964374039
SAMPLE,0.0015386137,4.41267261323981
DOSE,0,NA
SAMPLE,39169.777,876.518517827501
SAMPLE,37539.2,447.567990140738
SAMPLE,34935.135,235.122073767643
SAMPLE,31769.958,202.090187350608
SAMPLE,26390.505,126.169461498709
SAMPLE,18440.95,54.9005183709564
SAMPLE,9374.353,17.9442101460545
SAMPLE,5064.611,5.86929738737441
SAMPLE,2975.5037,4.01171100763424
DOSE,0,NA
SAMPLE,18331.491,628.950672135029
SAMPLE,9754.866,370.23105403364
SAMPLE,1745.6917,244.116516676307
SAMPLE,719.09565,181.603957149688
SAMPLE,496.1581,142.123004242888
SAMPLE,277.8404,114.294899695551
SAMPLE,99.28145,74.845154287097
SAMPLE,47.03655,48.8787819137817
SAMPLE,25.46419,38.8074286977447
SAMPLE,0.5903567,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,21971.81,3154.53726174134
SAMPLE,14972.935,1607.19166473264
SAMPLE,4607.5788,1006.19585586241
SAMPLE,1909.5076,531.564625383528
SAMPLE,1072.1873,138.694228684029
SAMPLE,725.0588,12.5023819911244
SAMPLE,507.0612,3.07018439659629
SAMPLE,360.55014,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
SAMPLE,3878.0944,2668.63556042497
SAMPLE,3403.5017,2237.52934107654
SAMPLE,2539.7878,1305.44147070675
SAMPLE,1836.9615,885.36118344326
SAMPLE,1055.8896,530.259766081187
