TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,36894.47,304.315357192768
SAMPLE,36690.426,157.977490394941
SAMPLE,36568.962,123.375402993436
SAMPLE,37336.723,110.483532472828
SAMPLE,39620.075,83.6523412382437
SAMPLE,43477.753,78.4973113347139
SAMPLE,45589.233,60.9520464815263
SAMPLE,44091.984,67.1916514778414
SAMPLE,41583.397,52.1873911277507
SAMPLE,24174.911,26.8365605219324
DOSE,0,NA
SAMPLE,4709.4636,829.299928174968
SAMPLE,3067.69,417.122964528933
SAMPLE,2473.1529,348.253865293765
SAMPLE,1893.8504,287.792056548411
SAMPLE,1450.8312,228.440843614237
SAMPLE,941.1822,171.605900313572
SAMPLE,478.8434,126.016347591523
SAMPLE,267.65826,119.043102943508
SAMPLE,160.6423,98.9469933382663
SAMPLE,18.628703,19.2272910962548
DOSE,0,NA
SAMPLE,7200.885,202431.831977285
SAMPLE,5457.754,108029.359464695
SAMPLE,3775.2721,55263.9511194024
SAMPLE,2205.4863,17823.7643407601
SAMPLE,861.3259,4190.79313496546
SAMPLE,185.13803,3608.61769371776
SAMPLE,24.496097,117.478834774702
SAMPLE,12.166074,87.2156862399706
SAMPLE,7.944228,82.5044648574369
SAMPLE,0.31155953,33.0468626561768
DOSE,0,NA
SAMPLE,7200.885,1410.59684276273
SAMPLE,5457.754,1079.7066108816
SAMPLE,3775.2721,373.498642075656
SAMPLE,2205.4863,162.941238081098
SAMPLE,861.3259,43.4520247443873
SAMPLE,185.13803,5.56670133423331
DOSE,0,NA
SAMPLE,17519.964,2556.82657575701
SAMPLE,14971.641,1734.92507366288
SAMPLE,12643.826,1396.97709649411
SAMPLE,9847.809,1156.79189042104
SAMPLE,5882.5564,993.649485903397
SAMPLE,2097.3027,812.103116860712
SAMPLE,469.55296,480.563098477543
SAMPLE,187.08315,293.086260292833
SAMPLE,84.170304,216.102423387286
SAMPLE,0.16088034,21.5428334546954
DOSE,0,NA
SAMPLE,6721.0484,731.405846216512
SAMPLE,1726.1647,460.831332638158
SAMPLE,1208.873,420.965667102289
SAMPLE,614.93826,204.412602633866
SAMPLE,290.42795,148.300293626486
SAMPLE,79.34359,95.6332636758106
SAMPLE,26.882853,69.5590495502037
SAMPLE,11.506893,40.8042964374039
SAMPLE,1.29238,4.41267261323981
DOSE,0,NA
SAMPLE,43901.19,876.518517827501
SAMPLE,42554.424,447.567990140738
SAMPLE,39474.274,235.122073767643
SAMPLE,35675.94,202.090187350608
SAMPLE,29674.137,126.169461498709
SAMPLE,21712.282,54.9005183709564
SAMPLE,12816.12,17.9442101460545
SAMPLE,7783.4687,5.86929738737441
SAMPLE,4879.977,4.01171100763424
DOSE,0,NA
SAMPLE,18604.626,628.950672135029
SAMPLE,9737.541,370.23105403364
SAMPLE,1730.872,244.116516676307
SAMPLE,827.417,181.603957149688
SAMPLE,622.20556,142.123004242888
SAMPLE,289.47836,114.294899695551
SAMPLE,65.163076,74.845154287097
SAMPLE,23.44946,48.8787819137817
SAMPLE,11.929321,38.8074286977447
SAMPLE,1.322957,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,23651.217,3154.53726174134
SAMPLE,15396.555,1607.19166473264
SAMPLE,4517.871,1006.19585586241
SAMPLE,2564.107,531.564625383528
SAMPLE,1815.5025,138.694228684029
SAMPLE,800.7813,12.5023819911244
SAMPLE,350.50854,3.07018439659629
SAMPLE,187.66649,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
SAMPLE,2081.918,2668.63556042497
SAMPLE,1774.4755,2237.52934107654
SAMPLE,1466.4649,1305.44147070675
SAMPLE,1202.9759,885.36118344326
SAMPLE,844.39915,530.259766081187
SAMPLE,482.63192,209.760934842573
SAMPLE,308.64465,50.0159393798569
SAMPLE,203.18049,14.0698206756857
DOSE,0,NA
SAMPLE,1489.6936,3879.40823945847
SAMPLE,595.56586,1813.45549555669
SAMPLE,388.7234,1175.68867161551
SAMPLE,324.08723,472.491609179265
SAMPLE,260.88828,223.213745598083
SAMPLE,170.6113,94.3973169289857
SAMPLE,76.78755,33.7175134688973
SAMPLE,38.164258,9.60969144117001
SAMPLE,20.927671,2.9729488650457
DOSE,0,NA
SAMPLE,0,3090.6523648684
SAMPLE,39188.39,2035.08686724603
SAMPLE,35051.28,1410.99508647108
SAMPLE,23208.364,489.057667735689
SAMPLE,13138.824,134.388128791546
SAMPLE,5197.687,15.6766240129022
DOSE,0,NA
SAMPLE,33773.106,13657.2451661714
SAMPLE,30850.515,5491.15017088565
SAMPLE,27030.241,4444.57783101495
SAMPLE,16969.961,1949.95164892484
SAMPLE,9051.723,658.183272433549
SAMPLE,3305.3284,158.367639935881
SAMPLE,1167.6277,32.3761649900074
SAMPLE,662.41944,14.4275245088861
SAMPLE,337.67435,6.18204217403136
DOSE,0,NA
SAMPLE,0,4046.07192142402
SAMPLE,12201.02,2849.90087382855
SAMPLE,5929.772,1966.64176665657
SAMPLE,869.91775,845.755687866694
SAMPLE,182.33447,321.480077035485
SAMPLE,78.12515,65.7513194845578
SAMPLE,35.20589,8.7963170702988
SAMPLE,23.919018,4.04763929917336
SAMPLE,16.401352,2.08253605892714
DOSE,0,NA
SAMPLE,23911.657,11665.1371699679
SAMPLE,17731.5,7338.02532644988
SAMPLE,12607.621,4565.41408065634
SAMPLE,4636.9534,3522.29222404438
SAMPLE,1638.0379,2772.99022883727
SAMPLE,867.03354,2103.4936574156
SAMPLE,666.5692,1582.7169071119
SAMPLE,543.08766,423.092907601866
SAMPLE,446.2408,189.497559769005
SAMPLE,114.49917,4.49134912901248
DOSE,0,NA
SAMPLE,29900.545,30096.2510724391
SAMPLE,22093.428,24600.9565491192
SAMPLE,15746.825,12038.8822696172
SAMPLE,5706.4056,7770.23171103724
SAMPLE,1890.7626,4900.30999580968
SAMPLE,576.00296,2487.31805801843
SAMPLE,138.82396,1037.62227830506
SAMPLE,61.108064,166.373072831489
SAMPLE,47.61157,155.710806166232
SAMPLE,4.1621844,9.59386216301289
DOSE,0,NA
SAMPLE,17669.817,8227.84122364432
SAMPLE,9930.304,2970.62654854012
SAMPLE,5538.3744,1280.06111060842
SAMPLE,2933.8887,725.112107294191
SAMPLE,1850.1483,429.270436170101
SAMPLE,856.55624,160.335054044343
SAMPLE,281.8292,40.425102012805
SAMPLE,126.72617,6.921790879233
SAMPLE,72.50808,2.93459531068589
DOSE,0,NA
SAMPLE,26460.022,1286.83618953651
SAMPLE,22736.814,1168.89979737799
SAMPLE,17950.19,609.514383123542
SAMPLE,7632.9303,295.630594130726
SAMPLE,2551.4112,130.228655653244
SAMPLE,882.65723,41.7417669998978
SAMPLE,663.1085,10.6449925701221
SAMPLE,444.59906,3.21773272253391
SAMPLE,301.58573,2.19338306602034
DOSE,0,NA
SAMPLE,4592.982,7233.10861696413
SAMPLE,2743.4592,2553.4543369088
SAMPLE,2283.4518,1187.79820261121
SAMPLE,1447.3164,369.459236779124
SAMPLE,785.72714,103.733939080236
SAMPLE,289.53832,29.4217559910239
SAMPLE,64.61369,7.71182336369644
SAMPLE,21.952933,3.35557797290122
SAMPLE,12.016891,2.76091847562696
DOSE,0,NA
SAMPLE,36798.62,12713.6600586251
SAMPLE,36299.538,4698.33261688135
SAMPLE,35898.235,1369.4032995989
SAMPLE,35021.755,538.20659175984
SAMPLE,34212.463,298.013233747209
SAMPLE,33134.44,97.5176653724876
SAMPLE,31078.857,22.1280759940696
SAMPLE,28850.565,6.23172472886098
SAMPLE,26544.916,2.86025479504544
DOSE,0,NA
SAMPLE,30372.229,17949.5381606607
SAMPLE,23076.195,12547.3807001622
SAMPLE,15833.026,8995.23308199401
SAMPLE,4280.2296,2069.46074247824
SAMPLE,984.5885,589.633718366828
SAMPLE,174.47408,193.833650671223
SAMPLE,58.630943,41.0500267169001
SAMPLE,48.728492,93.6981692675437
SAMPLE,40.843353,61.8763102508752
DOSE,0,NA
SAMPLE,33687.557,19727.4245625143
SAMPLE,31894.157,7088.60227297081
SAMPLE,29316.109,5148.42819457033
SAMPLE,21651.798,1214.89535348278
SAMPLE,14204.22,431.342469599063
SAMPLE,6529.57,84.7836046269744
SAMPLE,1783.5547,46.960141178841
SAMPLE,777.7366,41.6833564906728
SAMPLE,490.51723,11.0298329807533
SAMPLE,158.16371,2.29640128308225
DOSE,0,NA
SAMPLE,34328.697,4618.46736890641
SAMPLE,33719.02,1271.56409758481
SAMPLE,32898.933,697.385536358894
SAMPLE,30303.123,253.064289327363
SAMPLE,27090.834,113.019807713746
SAMPLE,22044.48,44.7739265099686
SAMPLE,15197.486,20.3753127181673
SAMPLE,10945.403,11.0116122998323
SAMPLE,8200.437,5.61750702671516
DOSE,0,NA
SAMPLE,35241.314,38923.240827234
SAMPLE,31262.93,19140.424034787
SAMPLE,26486.792,8463.13073282302
SAMPLE,14885.491,1669.68952261177
SAMPLE,6903.812,1241.84629890703
SAMPLE,2037.9329,699.690128384686
SAMPLE,704.4521,274.918015877092
SAMPLE,481.66585,94.5952772711005
SAMPLE,275.57203,14.780764255749
DOSE,0,NA
SAMPLE,28766.81,32413.4089908546
SAMPLE,23609.053,15263.444437355
SAMPLE,17361.294,7572.71607524082
SAMPLE,5777.7634,1605.74827792931
SAMPLE,1729.7235,501.336629557174
SAMPLE,971.1086,193.970740796219
SAMPLE,678.3732,49.2040707028668
SAMPLE,441.77154,29.1216871938196
SAMPLE,302.7437,19.9474407866277
DOSE,0,NA
SAMPLE,35167.37,8232.43887121181
SAMPLE,33940.887,4878.50621410098
SAMPLE,32304.764,3069.02376100023
SAMPLE,27299.074,2122.59654413762
SAMPLE,21985.981,1473.10916499223
SAMPLE,15397.504,1335.14672845782
SAMPLE,8069.255,784.286665735976
SAMPLE,4201.377,251.39436581741
SAMPLE,2376.543,133.558807592777
SAMPLE,363.00796,6.19301725097483
DOSE,0,NA
SAMPLE,25929.781,38264.0747626619
SAMPLE,18119.783,19394.4120203381
SAMPLE,13244.624,10065.6935408805
SAMPLE,7782.764,3152.18931596245
SAMPLE,4471.9687,1009.0226412632
SAMPLE,1982.6431,350.407513420035
SAMPLE,772.3245,110.262412275093
SAMPLE,394.18605,96.7593910482141
SAMPLE,220.24679,57.333995202703
