TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,19078.903,304.315357192768
SAMPLE,13033.011,157.977490394941
SAMPLE,8020.179,123.375402993436
SAMPLE,2869.8056,110.483532472828
SAMPLE,1565.7204,83.6523412382437
SAMPLE,903.8602,78.4973113347139
SAMPLE,405.9871,60.9520464815263
SAMPLE,225.69646,67.1916514778414
SAMPLE,147.41044,52.1873911277507
SAMPLE,16.23849,26.8365605219324
DOSE,0,NA
SAMPLE,2764.469,829.299928174968
SAMPLE,1590.0911,417.122964528933
SAMPLE,1133.3137,348.253865293765
SAMPLE,819.2432,287.792056548411
SAMPLE,731.5327,228.440843614237
SAMPLE,640.00046,171.605900313572
SAMPLE,499.2027,126.016347591523
SAMPLE,388.64407,119.043102943508
SAMPLE,303.8359,98.9469933382663
SAMPLE,43.066617,19.2272910962548
DOSE,0,NA
SAMPLE,4195.7955,202431.831977285
SAMPLE,2239.5911,108029.359464695
SAMPLE,1807.2798,55263.9511194024
SAMPLE,1509.5793,17823.7643407601
SAMPLE,1077.0683,4190.79313496546
SAMPLE,579.75405,3608.61769371776
SAMPLE,180.31888,117.478834774702
SAMPLE,57.03642,87.2156862399706
SAMPLE,18.07066,82.5044648574369
SAMPLE,0.0018399037,33.0468626561768
DOSE,0,NA
SAMPLE,4195.7955,1410.59684276273
SAMPLE,2239.5911,1079.7066108816
SAMPLE,1807.2798,373.498642075656
SAMPLE,1509.5793,162.941238081098
SAMPLE,1077.0683,43.4520247443873
SAMPLE,579.75405,5.56670133423331
DOSE,0,NA
SAMPLE,3230.7384,2556.82657575701
SAMPLE,2040.5893,1734.92507366288
SAMPLE,1808.5977,1396.97709649411
SAMPLE,1836.658,1156.79189042104
SAMPLE,1626.8744,993.649485903397
SAMPLE,1303.1988,812.103116860712
SAMPLE,961.09813,480.563098477543
SAMPLE,726.97324,293.086260292833
SAMPLE,551.063,216.102423387286
SAMPLE,60.23812,21.5428334546954
DOSE,0,NA
SAMPLE,3792.1531,731.405846216512
SAMPLE,1753.4686,460.831332638158
SAMPLE,1312.2864,420.965667102289
SAMPLE,777.1175,204.412602633866
SAMPLE,409.0836,148.300293626486
SAMPLE,122.13636,95.6332636758106
SAMPLE,37.5199,69.5590495502037
SAMPLE,11.608792,40.8042964374039
SAMPLE,0.001105435,4.41267261323981
DOSE,0,NA
SAMPLE,27454.824,876.518517827501
SAMPLE,18813.927,447.567990140738
SAMPLE,6546.8497,235.122073767643
SAMPLE,1887.4938,202.090187350608
SAMPLE,590.40385,126.169461498709
SAMPLE,350.32293,54.9005183709564
SAMPLE,209.21324,17.9442101460545
SAMPLE,128.51799,5.86929738737441
SAMPLE,80.579035,4.01171100763424
DOSE,0,NA
SAMPLE,7566.892,628.950672135029
SAMPLE,2015.758,370.23105403364
SAMPLE,601.75484,244.116516676307
SAMPLE,497.11588,181.603957149688
SAMPLE,366.31116,142.123004242888
SAMPLE,213.11884,114.294899695551
SAMPLE,79.577826,74.845154287097
SAMPLE,31.637643,48.8787819137817
SAMPLE,12.971949,38.8074286977447
SAMPLE,0.041079657,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,7560.5183,3154.53726174134
SAMPLE,4909.5063,1607.19166473264
SAMPLE,3668.251,1006.19585586241
SAMPLE,3274.0827,531.564625383528
SAMPLE,2484.8816,138.694228684029
SAMPLE,1281.2605,12.5023819911244
SAMPLE,662.37736,3.07018439659629
SAMPLE,356.2731,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
SAMPLE,1430.1078,2668.63556042497
SAMPLE,1144.2177,2237.52934107654
SAMPLE,945.8048,1305.44147070675
SAMPLE,852.023,885.36118344326
SAMPLE,722.65494,530.259766081187
SAMPLE,533.56755,209.760934842573
SAMPLE,398.63488,50.0159393798569
SAMPLE,295.9055,14.0698206756857
DOSE,0,NA
SAMPLE,1866.0237,3879.40823945847
SAMPLE,837.3786,1813.45549555669
SAMPLE,644.62596,1175.68867161551
SAMPLE,512.80195,472.491609179265
SAMPLE,375.19234,223.213745598083
SAMPLE,208.76405,94.3973169289857
SAMPLE,69.02783,33.7175134688973
SAMPLE,23.466777,9.60969144117001
SAMPLE,8.038598,2.9729488650457
DOSE,0,NA
SAMPLE,0,3090.6523648684
SAMPLE,5048.879,2035.08686724603
SAMPLE,1858.8948,1410.99508647108
SAMPLE,901.8916,489.057667735689
SAMPLE,524.2033,134.388128791546
SAMPLE,211.1175,15.6766240129022
DOSE,0,NA
SAMPLE,11959.14,13657.2451661714
SAMPLE,6206.0466,5491.15017088565
