TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,35615.04,304.315357192768
SAMPLE,33706.715,157.977490394941
SAMPLE,31313.34,123.375402993436
SAMPLE,25314.604,110.483532472828
SAMPLE,20981.312,83.6523412382437
SAMPLE,17798.845,78.4973113347139
SAMPLE,15635.958,60.9520464815263
SAMPLE,14534.229,67.1916514778414
SAMPLE,13793.255,52.1873911277507
SAMPLE,10417.394,26.8365605219324
DOSE,0,NA
SAMPLE,2765.1184,829.299928174968
SAMPLE,1590.4008,417.122964528933
SAMPLE,1133.5701,348.253865293765
SAMPLE,819.4636,287.792056548411
SAMPLE,731.7395,228.440843614237
SAMPLE,640.17916,171.605900313572
SAMPLE,499.32382,126.016347591523
SAMPLE,388.72066,119.043102943508
SAMPLE,303.8814,98.9469933382663
SAMPLE,43.05774,19.2272910962548
DOSE,0,NA
SAMPLE,4163.546,202431.831977285
SAMPLE,2196.267,108029.359464695
SAMPLE,1764.0343,55263.9511194024
SAMPLE,1474.9874,17823.7643407601
SAMPLE,1057.0545,4190.79313496546
SAMPLE,577.6697,3608.61769371776
SAMPLE,187.17416,117.478834774702
SAMPLE,61.885938,87.2156862399706
SAMPLE,20.504436,82.5044648574369
SAMPLE,0.0029860548,33.0468626561768
DOSE,0,NA
SAMPLE,4163.546,1410.59684276273
SAMPLE,2196.267,1079.7066108816
SAMPLE,1764.0343,373.498642075656
SAMPLE,1474.9874,162.941238081098
SAMPLE,1057.0545,43.4520247443873
SAMPLE,577.6697,5.56670133423331
DOSE,0,NA
SAMPLE,6783.4287,2556.82657575701
SAMPLE,3728.6255,1734.92507366288
SAMPLE,3034.9958,1396.97709649411
SAMPLE,3078.7253,1156.79189042104
SAMPLE,3099.9553,993.649485903397
SAMPLE,2619.013,812.103116860712
SAMPLE,1613.2519,480.563098477543
SAMPLE,981.9621,293.086260292833
SAMPLE,600.5347,216.102423387286
SAMPLE,15.831431,21.5428334546954
DOSE,0,NA
SAMPLE,5735.4245,731.405846216512
SAMPLE,1660.7883,460.831332638158
SAMPLE,466.41076,420.965667102289
SAMPLE,357.56811,204.412602633866
SAMPLE,278.483,148.300293626486
SAMPLE,172.89656,95.6332636758106
SAMPLE,108.179234,69.5590495502037
SAMPLE,67.982756,40.8042964374039
SAMPLE,1.8765795,4.41267261323981
DOSE,0,NA
SAMPLE,36905.777,876.518517827501
SAMPLE,33033.783,447.567990140738
SAMPLE,29086.666,235.122073767643
SAMPLE,26552.14,202.090187350608
SAMPLE,22733.734,126.169461498709
SAMPLE,16837.854,54.9005183709564
SAMPLE,9446.037,17.9442101460545
SAMPLE,5437.5377,5.86929738737441
SAMPLE,3222.8258,4.01171100763424
DOSE,0,NA
SAMPLE,14335.351,628.950672135029
SAMPLE,8301.991,370.23105403364
SAMPLE,1974.9535,244.116516676307
SAMPLE,558.3973,181.603957149688
SAMPLE,221.1124,142.123004242888
