TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,27469.042,304.315357192768
SAMPLE,20268.627,157.977490394941
SAMPLE,13676.428,123.375402993436
SAMPLE,5752.2964,110.483532472828
SAMPLE,2122.1404,83.6523412382437
SAMPLE,300.1787,78.4973113347139
SAMPLE,8.419253,60.9520464815263
SAMPLE,2.3740558,67.1916514778414
SAMPLE,1.9549285,52.1873911277507
SAMPLE,0.6937805,26.8365605219324
DOSE,0,NA
SAMPLE,6324.566,829.299928174968
SAMPLE,4309.8884,417.122964528933
SAMPLE,3741.6732,348.253865293765
SAMPLE,2959.29,287.792056548411
SAMPLE,2113.255,228.440843614237
SAMPLE,1103.0023,171.605900313572
SAMPLE,356.4811,126.016347591523
SAMPLE,138.86386,119.043102943508
SAMPLE,63.776284,98.9469933382663
SAMPLE,1.4866666,19.2272910962548
DOSE,0,NA
SAMPLE,8593.851,202431.831977285
SAMPLE,6917.2397,108029.359464695
SAMPLE,4508.245,55263.9511194024
SAMPLE,2342.5493,17823.7643407601
SAMPLE,672.25206,4190.79313496546
SAMPLE,75.31589,3608.61769371776
SAMPLE,1.5963905,117.478834774702
SAMPLE,0.0374932,87.2156862399706
SAMPLE,0.0008819114,82.5044648574369
SAMPLE,3.389902e-09,33.0468626561768
DOSE,0,NA
SAMPLE,8593.851,1410.59684276273
SAMPLE,6917.2397,1079.7066108816
SAMPLE,4508.245,373.498642075656
SAMPLE,2342.5493,162.941238081098
SAMPLE,672.25206,43.4520247443873
SAMPLE,75.31589,5.56670133423331
DOSE,0,NA
SAMPLE,19381.636,2556.82657575701
SAMPLE,17553.656,1734.92507366288
SAMPLE,13801.422,1396.97709649411
SAMPLE,9305.218,1156.79189042104
SAMPLE,4058.431,993.649485903397
SAMPLE,697.79956,812.103116860712
SAMPLE,16.888147,480.563098477543
SAMPLE,0.36136614,293.086260292833
SAMPLE,0.0073457622,216.102423387286
SAMPLE,0,21.5428334546954
DOSE,0,NA
SAMPLE,7655.7693,731.405846216512
SAMPLE,5108.9716,460.831332638158
SAMPLE,2720.5203,420.965667102289
SAMPLE,571.138,204.412602633866
SAMPLE,135.88338,148.300293626486
SAMPLE,8.114365,95.6332636758106
SAMPLE,0.5516429,69.5590495502037
SAMPLE,0.095795825,40.8042964374039
SAMPLE,6.629367e-05,4.41267261323981
DOSE,0,NA
SAMPLE,32984.17,876.518517827501
SAMPLE,23037.779,447.567990140738
SAMPLE,8445.876,235.122073767643
SAMPLE,2318.5499,202.090187350608
SAMPLE,449.49546,126.169461498709
SAMPLE,202.58684,54.9005183709564
SAMPLE,63.36487,17.9442101460545
SAMPLE,32.053657,5.86929738737441
SAMPLE,25.654713,4.01171100763424
DOSE,0,NA
SAMPLE,9592.024,628.950672135029
SAMPLE,4028.845,370.23105403364
SAMPLE,1848.0299,244.116516676307
SAMPLE,844.90794,181.603957149688
SAMPLE,186.73003,142.123004242888
SAMPLE,9.961509,114.294899695551
SAMPLE,0.06883321,74.845154287097
SAMPLE,0.009478009,48.8787819137817
SAMPLE,0.0034940265,38.8074286977447
SAMPLE,3.15935e-07,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,16271.624,3154.53726174134
SAMPLE,13082.665,1607.19166473264
SAMPLE,8626.558,1006.19585586241
SAMPLE,5065.309,531.564625383528
SAMPLE,1862.6964,138.694228684029
SAMPLE,264.46608,12.5023819911244
SAMPLE,82.8935,3.07018439659629
SAMPLE,60.845118,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
