TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,36275.707,304.315357192768
SAMPLE,35776.9,157.977490394941
SAMPLE,35356.815,123.375402993436
SAMPLE,34791.653,110.483532472828
SAMPLE,34411.94,83.6523412382437
SAMPLE,33877.167,78.4973113347139
SAMPLE,32915.752,60.9520464815263
SAMPLE,31934.51,67.1916514778414
SAMPLE,30924.313,52.1873911277507
SAMPLE,22644.653,26.8365605219324
DOSE,0,NA
SAMPLE,6326.0627,829.299928174968
SAMPLE,4311.03,417.122964528933
SAMPLE,3742.724,348.253865293765
SAMPLE,2960.0003,287.792056548411
SAMPLE,2113.6444,228.440843614237
SAMPLE,1103.11,171.605900313572
SAMPLE,356.47574,126.016347591523
SAMPLE,138.85292,119.043102943508
SAMPLE,63.76793,98.9469933382663
SAMPLE,1.4867779,19.2272910962548
DOSE,0,NA
SAMPLE,8426.485,202431.831977285
SAMPLE,6770.7114,108029.359464695
SAMPLE,4454.36,55263.9511194024
SAMPLE,2351.795,17823.7643407601
SAMPLE,691.41746,4190.79313496546
SAMPLE,79.118304,3608.61769371776
SAMPLE,1.7202186,117.478834774702
SAMPLE,0.041917232,87.2156862399706
SAMPLE,0.001028974,82.5044648574369
SAMPLE,7.442768e-09,33.0468626561768
DOSE,0,NA
SAMPLE,8426.485,1410.59684276273
SAMPLE,6770.7114,1079.7066108816
SAMPLE,4454.36,373.498642075656
SAMPLE,2351.795,162.941238081098
SAMPLE,691.41746,43.4520247443873
SAMPLE,79.118304,5.56670133423331
DOSE,0,NA
SAMPLE,26470.932,2556.82657575701
SAMPLE,24446.676,1734.92507366288
SAMPLE,19153.755,1396.97709649411
SAMPLE,12832.478,1156.79189042104
SAMPLE,5514.3766,993.649485903397
SAMPLE,916.0124,812.103116860712
SAMPLE,20.729668,480.563098477543
SAMPLE,0.41943011,293.086260292833
SAMPLE,0.008177608,216.102423387286
SAMPLE,1.4220451e-06,21.5428334546954
DOSE,0,NA
SAMPLE,6799.14,731.405846216512
SAMPLE,2733.0294,460.831332638158
SAMPLE,1407.6036,420.965667102289
SAMPLE,576.4252,204.412602633866
SAMPLE,273.84606,148.300293626486
SAMPLE,86.18386,95.6332636758106
SAMPLE,28.76819,69.5590495502037
SAMPLE,9.82974,40.8042964374039
SAMPLE,0.0050031153,4.41267261323981
DOSE,0,NA
SAMPLE,43795.467,876.518517827501
SAMPLE,42479.24,447.567990140738
SAMPLE,39500.084,235.122073767643
SAMPLE,35901.46,202.090187350608
SAMPLE,30194.26,126.169461498709
SAMPLE,22338.715,54.9005183709564
SAMPLE,13086.304,17.9442101460545
SAMPLE,7739.409,5.86929738737441
