TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,29707.764,304.315357192768
SAMPLE,23343.313,157.977490394941
SAMPLE,16606.165,123.375402993436
SAMPLE,5501.8973,110.483532472828
SAMPLE,1420.4268,83.6523412382437
SAMPLE,163.23882,78.4973113347139
SAMPLE,3.2058174,60.9520464815263
SAMPLE,0.11262162,67.1916514778414
SAMPLE,0.01659341,52.1873911277507
SAMPLE,0.0017277321,26.8365605219324
DOSE,0,NA
SAMPLE,4621.6016,829.299928174968
SAMPLE,3235.2421,417.122964528933
SAMPLE,2720.1812,348.253865293765
SAMPLE,2090.7881,287.792056548411
SAMPLE,1608.9798,228.440843614237
SAMPLE,1018.9147,171.605900313572
SAMPLE,438.26598,126.016347591523
SAMPLE,205.98267,119.043102943508
SAMPLE,111.94082,98.9469933382663
SAMPLE,17.569035,19.2272910962548
DOSE,0,NA
SAMPLE,7368.53,202431.831977285
SAMPLE,5656.885,108029.359464695
SAMPLE,3998.9386,55263.9511194024
SAMPLE,2333.9362,17823.7643407601
SAMPLE,790.3418,4190.79313496546
SAMPLE,110.202536,3608.61769371776
SAMPLE,18.02095,117.478834774702
SAMPLE,11.3665,87.2156862399706
SAMPLE,7.6707522,82.5044648574369
SAMPLE,0.3346427,33.0468626561768
DOSE,0,NA
SAMPLE,7368.53,1410.59684276273
SAMPLE,5656.885,1079.7066108816
SAMPLE,3998.9386,373.498642075656
SAMPLE,2333.9362,162.941238081098
SAMPLE,790.3418,43.4520247443873
SAMPLE,110.202536,5.56670133423331
DOSE,0,NA
SAMPLE,18384.684,2556.82657575701
SAMPLE,16754.416,1734.92507366288
SAMPLE,12968.642,1396.97709649411
SAMPLE,8811.719,1156.79189042104
SAMPLE,4144.8402,993.649485903397
SAMPLE,935.9299,812.103116860712
SAMPLE,46.278954,480.563098477543
SAMPLE,2.1993152,293.086260292833
SAMPLE,0.10283522,216.102423387286
SAMPLE,0,21.5428334546954
DOSE,0,NA
SAMPLE,5432.9486,731.405846216512
SAMPLE,3754.1578,460.831332638158
SAMPLE,2386.8616,420.965667102289
SAMPLE,445.68107,204.412602633866
SAMPLE,52.33285,148.300293626486
SAMPLE,0.7919993,95.6332636758106
