TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,37017.3,304.315357192768
SAMPLE,36844.337,157.977490394941
SAMPLE,36904.39,123.375402993436
SAMPLE,39400.623,110.483532472828
SAMPLE,44337.14,83.6523412382437
SAMPLE,49191.757,78.4973113347139
SAMPLE,48341.442,60.9520464815263
SAMPLE,45319.32,67.1916514778414
SAMPLE,42365.517,52.1873911277507
SAMPLE,24684.425,26.8365605219324
DOSE,0,NA
SAMPLE,4622.7074,829.299928174968
SAMPLE,3236.1104,417.122964528933
SAMPLE,2720.9525,348.253865293765
SAMPLE,2091.3196,287.792056548411
SAMPLE,1609.317,228.440843614237
SAMPLE,1019.0612,171.605900313572
SAMPLE,438.2813,126.016347591523
SAMPLE,205.97844,119.043102943508
SAMPLE,111.93987,98.9469933382663
SAMPLE,17.571397,19.2272910962548
DOSE,0,NA
SAMPLE,7240.771,202431.831977285
SAMPLE,5532.6643,108029.359464695
SAMPLE,3942.1976,55263.9511194024
SAMPLE,2331.7587,17823.7643407601
SAMPLE,807.2882,4190.79313496546
SAMPLE,114.96834,3608.61769371776
SAMPLE,18.025449,117.478834774702
SAMPLE,11.356832,87.2156862399706
SAMPLE,7.707885,82.5044648574369
SAMPLE,0.35242282,33.0468626561768
DOSE,0,NA
SAMPLE,7240.771,1410.59684276273
SAMPLE,5532.6643,1079.7066108816
SAMPLE,3942.1976,373.498642075656
SAMPLE,2331.7587,162.941238081098
SAMPLE,807.2882,43.4520247443873
SAMPLE,114.96834,5.56670133423331
DOSE,0,NA
SAMPLE,25197.899,2556.82657575701
SAMPLE,23277.514,1734.92507366288
SAMPLE,17980.623,1396.97709649411
SAMPLE,12257.141,1156.79189042104
SAMPLE,5774.9505,993.649485903397
SAMPLE,1192.2501,812.103116860712
SAMPLE,40.302645,480.563098477543
SAMPLE,1.1733396,293.086260292833
SAMPLE,0.031841573,216.102423387286
SAMPLE,1.748532e-07,21.5428334546954
DOSE,0,NA
SAMPLE,5328.4345,731.405846216512
SAMPLE,2254.4086,460.831332638158
SAMPLE,1107.2865,420.965667102289
SAMPLE,530.0535,204.412602633866
SAMPLE,223.48766,148.300293626486
SAMPLE,38.122702,95.6332636758106
SAMPLE,7.244418,69.5590495502037
SAMPLE,2.4224953,40.8042964374039
SAMPLE,0.083408566,4.41267261323981
DOSE,0,NA
SAMPLE,43709.94,876.518517827501
SAMPLE,42362.755,447.567990140738
SAMPLE,39320.534,235.122073767643
SAMPLE,35712.16,202.090187350608
SAMPLE,30029.207,126.169461498709
SAMPLE,22237.37,54.9005183709564
SAMPLE,13222.96,17.9442101460545
SAMPLE,8024.573,5.86929738737441
SAMPLE,4925.328,4.01171100763424
DOSE,0,NA
SAMPLE,17126.865,628.950672135029
SAMPLE,9852.729,370.23105403364
SAMPLE,2474.4234,244.116516676307
SAMPLE,964.58113,181.603957149688
SAMPLE,580.1924,142.123004242888
SAMPLE,293.66332,114.294899695551
SAMPLE,60.057696,74.845154287097
SAMPLE,12.611539,48.8787819137817
SAMPLE,3.2390498,38.8074286977447
SAMPLE,0.3516653,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,21629.978,3154.53726174134
SAMPLE,15515.183,1607.19166473264
SAMPLE,5840.106,1006.19585586241
SAMPLE,2635.669,531.564625383528
SAMPLE,1595.737,138.694228684029
SAMPLE,809.81934,12.5023819911244
SAMPLE,377.7617,3.07018439659629
SAMPLE,186.6282,2.54791818375338
DOSE,0,NA
SAMPLE,0,4126.14826507921
SAMPLE,2022.8653,2668.63556042497
SAMPLE,1797.6283,2237.52934107654
SAMPLE,1555.2667,1305.44147070675
SAMPLE,1322.7056,885.36118344326
SAMPLE,954.79614,530.259766081187
SAMPLE,499.10885,209.760934842573
SAMPLE,272.82748,50.0159393798569
SAMPLE,155.23924,14.0698206756857
DOSE,0,NA
SAMPLE,1020.4806,3879.40823945847
SAMPLE,609.57795,1813.45549555669
SAMPLE,425.65826,1175.68867161551
SAMPLE,308.71427,472.491609179265
SAMPLE,217.87974,223.213745598083
SAMPLE,111.658074,94.3973169289857
SAMPLE,31.09462,33.7175134688973
SAMPLE,9.836543,9.60969144117001
SAMPLE,3.8456281,2.9729488650457
DOSE,0,NA
SAMPLE,0,3090.6523648684
SAMPLE,39482.903,2035.08686724603
SAMPLE,35460.583,1410.99508647108
SAMPLE,23746.326,489.057667735689
SAMPLE,13791.019,134.388128791546
SAMPLE,5709.838,15.6766240129022
DOSE,0,NA
SAMPLE,34094.864,13657.2451661714
SAMPLE,31459.488,5491.15017088565
SAMPLE,27952.55,4444.57783101495
SAMPLE,17954.24,1949.95164892484
SAMPLE,9647.974,658.183272433549
SAMPLE,3592.105,158.367639935881
SAMPLE,1136.5255,32.3761649900074
SAMPLE,441.24284,14.4275245088861
SAMPLE,155.20152,6.18204217403136
DOSE,0,NA
SAMPLE,0,4046.07192142402
SAMPLE,14798.08,2849.90087382855
SAMPLE,6796.9694,1966.64176665657
SAMPLE,470.81864,845.755687866694
SAMPLE,47.195356,321.480077035485
SAMPLE,37.294734,65.7513194845578
SAMPLE,32.807652,8.7963170702988
SAMPLE,24.036014,4.04763929917336
SAMPLE,11.5017565,2.08253605892714
DOSE,0,NA
SAMPLE,13795.975,11665.1371699679
SAMPLE,6828.861,7338.02532644988
SAMPLE,3671.666,4565.41408065634
SAMPLE,2091.2602,3522.29222404438
SAMPLE,1451.2727,2772.99022883727
SAMPLE,964.68556,2103.4936574156
SAMPLE,582.39084,1582.7169071119
SAMPLE,397.2591,423.092907601866
SAMPLE,295.0045,189.497559769005
SAMPLE,105.343536,4.49134912901248
DOSE,0,NA
SAMPLE,30737.268,30096.2510724391
SAMPLE,23057.705,24600.9565491192
SAMPLE,16357.029,12038.8822696172
SAMPLE,5705.041,7770.23171103724
SAMPLE,1701.2147,4900.30999580968
SAMPLE,534.2454,2487.31805801843
SAMPLE,134.86977,1037.62227830506
SAMPLE,60.391385,166.373072831489
SAMPLE,47.546666,155.710806166232
SAMPLE,4.213027,9.59386216301289
DOSE,0,NA
SAMPLE,15174.245,8227.84122364432
SAMPLE,9496.07,2970.62654854012
SAMPLE,6206.2335,1280.06111060842
SAMPLE,3403.013,725.112107294191
SAMPLE,2153.6832,429.270436170101
SAMPLE,936.42545,160.335054044343
SAMPLE,229.43485,40.425102012805
SAMPLE,94.647,6.921790879233
SAMPLE,55.67951,2.93459531068589
DOSE,0,NA
SAMPLE,24667.133,1286.83618953651
SAMPLE,21457.235,1168.89979737799
SAMPLE,17067.558,609.514383123542
SAMPLE,7810.2245,295.630594130726
SAMPLE,3207.1657,130.228655653244
SAMPLE,1094.6934,41.7417669998978
SAMPLE,585.80005,10.6449925701221
SAMPLE,411.05074,3.21773272253391
SAMPLE,292.73272,2.19338306602034
DOSE,0,NA
SAMPLE,4776.7973,7233.10861696413
SAMPLE,3043.5412,2553.4543369088
SAMPLE,2507.0558,1187.79820261121
SAMPLE,1541.0537,369.459236779124
SAMPLE,797.172,103.733939080236
SAMPLE,226.1999,29.4217559910239
SAMPLE,29.246703,7.71182336369644
SAMPLE,12.392804,3.35557797290122
SAMPLE,9.627698,2.76091847562696
DOSE,0,NA
SAMPLE,37258.892,12713.6600586251
SAMPLE,36879.58,4698.33261688135
SAMPLE,36516.785,1369.4032995989
SAMPLE,36063.446,538.20659175984
SAMPLE,36431.465,298.013233747209
